ACCELEROMETER X (,/s²),ACCELEROMETER Y (,/s²),ACCELEROMETER Z (,/s²),GRAVITY X (,/s²),GRAVITY Y (,/s²),GRAVITY Z (,/s²),LINEAR ACCELERATION X (,/s²),LINEAR ACCELERATION Y (,/s²),LINEAR ACCELERATION Z (,/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (,,x),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azi,,th °),ORIENTATION X (pit,h °),ORIENTATION Y (r,,, °),PROXIMITY (,),SOUND LEVEL (dB),LOCATION Latit,de : ,LOCATION L,ngit,de : ,LOCATION A,tit,de ( ,),LOCATION A,tit,de-g,,g,e ( ,),LOCATION Speed ( ,/s),LOCATION A,,,ra,y ( ,),LOCATION ORIENTATION (°),Sate,,ites in range,Ti,e sin,e start in ,s ,YYYY-MO-DD HH-MI-SS_SSS
0.089386,0.071259,9.601898,0.049732,0.021333,9.806501,0.050102,0.004073,-0.008786,-0.002609,-0.000519,-0.00061,2147.4836,36.441,-8.3069,-47.1161,257.6722,-0.1122,-0.2269,5,65.11666,49.010887,8.422096,160.6947,NaN,10.57,5.36,240.3,18 / 29,20008,2018-07-03 13:47:15:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.187546,0.088028,9.786255,0.08428,0.000063,9.806288,-0.024157,0.006956,-0.137703,-0.005798,-0.003006,0.00029,2147.4836,31.4301,-6.868,-48.8754,257.5285,-0.052,-0.5273,5,64.584,49.010887,8.422096,160.6947,NaN,10.57,5.36,240.3,18 / 29,20508,2018-07-03 13:47:15:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05426,-0.031693,9.853287,0.074842,-0.007662,9.806361,-0.071317,0.024626,-0.086666,0.001297,0.004272,0.001343,2147.4836,32.9453,-8.1009,-50.3952,256.4596,0.0448,-0.4373,5,65.24431,49.010853,8.421972,159.6619,NaN,10.54,5.36,239.6,17 / 29,21008,2018-07-03 13:47:16:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.055466,-0.06041,9.958633,0.086063,-0.011697,9.806266,-0.099755,-0.011243,-0.039523,-0.000656,-0.000336,-0.000244,2147.4836,34.0439,-9.7778,-50.0351,253.7168,0.0683,-0.5028,5,65.22527,49.010853,8.421972,159.6619,NaN,10.54,5.36,239.6,17 / 29,21508,2018-07-03 13:47:16:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140869,-0.364487,9.947861,0.115782,-0.101773,9.805439,0.109974,-0.156815,-0.04153,0.001999,-0.005493,-0.000427,2147.4836,38.5071,-8.2184,-47.0718,256.9617,0.1652,-0.5481,5,66.15171,49.010815,8.42183,159.9506,NaN,10.64,5.36,240.9,16 / 29,22008,2018-07-03 13:47:17:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.163605,-0.393204,10.005325,0.12223,-0.229983,9.803191,0.046038,-0.165377,0.126849,0.003067,0.005875,-0.000244,2147.4836,39.6759,-9.2514,-47.3083,256.1531,1.2358,-0.7022,5,66.0577,49.010815,8.42183,159.9506,NaN,10.64,5.36,240.9,16 / 29,22508,2018-07-03 13:47:17:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.139664,-0.366867,9.967026,0.10346,-0.296669,9.801616,0.110069,-0.038469,-0.019298,0.000229,-0.005127,-0.000076,2147.4836,41.7007,-13.5254,-47.5632,250.0271,1.6865,-0.4379,5,66.53726,49.010765,8.421719,159.1328,NaN,10.38,5.36,239.6,17 / 29,23008,2018-07-03 13:47:18:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.102554,-0.414764,9.74675,0.111736,-0.359126,9.799436,0.000845,-0.045657,-0.030718,0.000412,0.006409,-0.000244,2147.4836,37.5977,-7.3334,-40.9866,257.6422,2.0428,-0.7318,5,65.74362,49.010765,8.421719,159.1328,NaN,10.38,5.36,239.6,17 / 29,23508,2018-07-03 13:47:18:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109741,-0.454269,9.674927,0.096146,-0.432683,9.796628,-0.054025,-0.070674,-0.067044,-0.002075,0.000732,0.000641,2147.4836,34.79,-2.417,-40.181,264.074,2.4217,-0.5652,5,64.75499,49.010723,8.421596,159.7553,NaN,10.14,5.36,239.8,17 / 29,24008,2018-07-03 13:47:19:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.291702,-0.45546,9.88681,0.107124,-0.467517,9.794913,0.194952,-0.015997,-0.019513,-0.001907,0.0009,-0.003448,2147.4836,31.2592,-7.7515,-42.0547,252.3963,2.6958,-0.5072,5,67.35892,49.010723,8.421596,159.7553,NaN,10.14,5.36,239.8,17 / 29,24508,2018-07-03 13:47:19:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
